id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1552242644096622594,1552242644096622594,2022-07-27 12:41:00 CEST,2022-07-27,12:41:00,+0200,54566119,elpais_deportes,EL PAÍS Deportes,,"⚽ Luis Suárez acaba de elegir con el corazón  El delantero anunció que jugará en los próximos meses con la camiseta de Nacional, el equipo del que es aficionado y en el que comenzó su carrera  Te lo cuenta @Andres_Burgo  https://t.co/8Ljt0Plufe",es,"[{'screen_name': 'andres_burgo', 'name': 'andres burgo', 'id': '443884579'}]",['https://elpais.com/deportes/2022-07-26/luis-suarez-regresa-a-nacional-el-club-uruguayo-en-el-que-debuto.html'],[],0,2,8,[],[],https://twitter.com/elpais_deportes/status/1552242644096622594,False,,0,,,,,,,,[],,,,
1552242227447009286,1552092658474004480,2022-07-27 12:39:20 CEST,2022-07-27,12:39:20,+0200,887580663574089728,elskasucco,Elska,,"@PropositoyVida Eso no existe. Tú eliges entre lo q te han dicho que elijas. Elijes una carrera, por ejemplo, o emprende un negocio (q es algo q quieren q hagas y por eso está tan de moda) porque te han dicho q debes elegir entre esas tonterías. La mejor manipulación es hacerte creer q elijes.",es,[],[],[],0,0,0,[],[],https://twitter.com/ElskaSucco/status/1552242227447009286,False,,0,,,,,,,,"[{'screen_name': 'PropositoyVida', 'name': 'Vive con Propósito.', 'id': '1373983841795334150'}]",,,,
1552238989851201541,1552238989851201541,2022-07-27 12:26:29 CEST,2022-07-27,12:26:29,+0200,883171996091154432,monsscv,monse,,"admito que me da miedo el examen de la uní, independientemente que no se que carrera elegir jajsja",es,[],[],[],1,0,0,[],[],https://twitter.com/monsscv/status/1552238989851201541,False,,0,,,,,,,,[],,,,
1552205568772808705,1552205568772808705,2022-07-27 10:13:40 CEST,2022-07-27,10:13:40,+0200,1297400101531516928,unusuar65343867,Un Usuario Más,,Mi mamá fue una inspiración para yo elegir mi carrera. Recuerdo que días antes de ser hospitalizada estuvo en una de mis clases virtuales y con las pocas fuerzas que tenía para hablar me dijo que le había gustado mi clase y que era un buen profe. 😔💔,es,[],[],[],0,0,4,[],[],https://twitter.com/UnUsuar65343867/status/1552205568772808705,False,,0,,,,,,,,[],,,,
1552197346435407872,1551845425942077441,2022-07-27 09:41:00 CEST,2022-07-27,09:41:00,+0200,1537085475466379264,m_ru1z_,M_ru1z,,@Sdesalvaje Como ser adulto joven y como elegir una carrera tecnica o universitaria segun mis gustos y capcidades reales.,es,[],[],[],0,0,0,[],[],https://twitter.com/M_Ru1z_/status/1552197346435407872,False,,0,,,,,,,,"[{'screen_name': 'Sdesalvaje', 'name': '💀 SALVAJE 💀', 'id': '1018107779326898176'}]",,,,
1552187782906486785,1552187782906486785,2022-07-27 09:03:00 CEST,2022-07-27,09:03:00,+0200,301900145,avanzaetc,Avanza en tu carrera,,👩‍🍳🤵¿Conoces todos los títulos de #FP que hay en #Hostelería y #Turismo?  Te contamos qué estudios de #FormacionProfesional puedes elegir y qué salidas laborales ofrecen 👇👇👇   https://t.co/IQZwgGuHJv  https://t.co/oIiynxHO58,es,[],['https://www.avanzaentucarrera.com/orientacion/orientacion-academica/formacion-profesional/fp-de-hosteleria-y-turismo-que-titulaciones-puedes-estudiar-en-esta-rama/'],['https://pbs.twimg.com/media/FWVfqOQXgAAbFhn.jpg'],0,0,0,"['fp', 'hostelería', 'turismo', 'formacionprofesional']",[],https://twitter.com/AvanzaETC/status/1552187782906486785,False,,1,https://pbs.twimg.com/media/FWVfqOQXgAAbFhn.jpg,,,,,,,[],,,,
1552174983669075968,1552174983669075968,2022-07-27 08:12:08 CEST,2022-07-27,08:12:08,+0200,299319086,joelsierra_,Joel Sierra,,"Siendo absolutamente respetable irse al Golfo, a Japón o a la MLS, hay que aplaudir cuando un futbolista que ha sido súper élite mundial toma una decisión con el corazón a la hora de elegir un destino para concluir su carrera. Básicamente, porque cada día están más lejos ⚽ y ♥️.",es,[],[],[],2,6,39,[],[],https://twitter.com/JoelSierra_/status/1552174983669075968,False,https://twitter.com/SpheraSports/status/1552046022892871688,0,,,,,,,,[],,,,
1552170099926335493,1552170099926335493,2022-07-27 07:52:44 CEST,2022-07-27,07:52:44,+0200,171979117,edithgdd,Chica Filosofía,,"Todos tenemos potencial para una carrera larga. Ahora, que podemos elegir no cursarla es otra cosa, y está bien (válido). Pero jamás límite las capacidades humanas porque sí nacemos talentosos, ¿pero capaces? Se leería mejor: no todos deseamos estudiar una carrera larga.",es,[],[],[],0,1,1,[],[],https://twitter.com/edithgdd/status/1552170099926335493,False,https://twitter.com/aliciavillegasm/status/1551779988201930753,0,,,,,,,,[],,,,
1552169606328074240,1551779988201930753,2022-07-27 07:50:46 CEST,2022-07-27,07:50:46,+0200,171979117,edithgdd,Chica Filosofía,,"@aliciavillegasm Todos tenemos potencial para una carrera larga. Ahora, que podemos elegir no cursarla es otra cosa, y está bien (válido). Pero jamás límite las capacidades humanas porque sí nacemos talentosos, ¿pero capaces? Se leería mejor: no todos deseamos estudiar una carrera larga.",es,[],[],[],0,0,0,[],[],https://twitter.com/edithgdd/status/1552169606328074240,False,,0,,,,,,,,"[{'screen_name': 'aliciavillegasm', 'name': 'Dra. Alicia Villegas M.', 'id': '1300364214293409792'}]",,,,
1552166115937341440,1551983058034855936,2022-07-27 07:36:54 CEST,2022-07-27,07:36:54,+0200,2470153981,nubecosas,Estetuitnoesunaporte,,"@musicastereo Siii es cierto, eso es lo bkn de esta carrera que elegimos, es muy diversa y amplia, quizás por eso tb es difícil elegir solo un área! Y siiii vi lo de tu libro y lo encuentro increíble 😻 tienes que seguir en eso!!! Oye podriamos juntarnos a tomar un cafecito algún día 🙌🏻",es,[],[],[],1,0,1,[],[],https://twitter.com/nubecosas/status/1552166115937341440,False,,0,,,,,,,,"[{'screen_name': 'musicastereo', 'name': 'C. 🌻', 'id': '1301333196'}]",,,,
